date,price
01-01-50,34.73
01-02-50,34.73
01-03-50,34.73
01-04-50,34.73
01-05-50,34.73
01-06-50,34.73
01-07-50,34.73
01-08-50,34.73
01-09-50,34.73
01-10-50,34.73
01-11-50,34.73
01-12-50,34.72
01-01-51,34.72
01-02-51,34.73
01-03-51,34.73
01-04-51,34.73
01-05-51,34.73
01-06-51,34.73
01-07-51,34.72
01-08-51,34.71
01-09-51,34.71
01-10-51,34.71
01-11-51,34.73
01-12-51,34.66
01-01-52,34.49
01-02-52,34.49
01-03-52,34.68
01-04-52,34.82
01-05-52,34.73
01-06-52,34.53
01-07-52,34.57
01-08-52,34.58
01-09-52,34.51
01-10-52,34.63
01-11-52,34.72
01-12-52,34.79
01-01-53,34.88
01-02-53,34.95
01-03-53,34.92
01-04-53,34.93
01-05-53,34.9
01-06-53,34.89
01-07-53,34.91
01-08-53,34.91
01-09-53,34.76
01-10-53,34.79
01-11-53,34.86
01-12-53,34.85
01-01-54,34.86
01-02-54,34.88
01-03-54,34.92
01-04-54,35.04
01-05-54,35.08
01-06-54,35.07
01-07-54,35.08
01-08-54,35.05
01-09-54,35.08
01-10-54,35.08
01-11-54,35.06
01-12-54,35.04
01-01-55,35.04
01-02-55,35.05
01-03-55,35.06
01-04-55,35.05
01-05-55,35.05
01-06-55,35.04
01-07-55,35.05
01-08-55,35.03
01-09-55,34.98
01-10-55,34.98
01-11-55,34.98
01-12-55,34.97
01-01-56,34.99
01-02-56,34.99
01-03-56,34.99
01-04-56,34.98
01-05-56,34.99
01-06-56,34.98
01-07-56,35
01-08-56,35.02
01-09-56,35.01
01-10-56,35.02
01-11-56,34.98
01-12-56,34.9
01-01-57,34.88
01-02-57,34.89
01-03-57,34.91
01-04-57,34.92
01-05-57,34.93
01-06-57,34.99
01-07-57,34.99
01-08-57,34.97
01-09-57,34.96
01-10-57,34.97
01-11-57,34.97
01-12-57,34.99
01-01-58,35.01
01-02-58,35.08
01-03-58,35.09
01-04-58,35.1
01-05-58,35.11
01-06-58,35.1
01-07-58,35.11
01-08-58,35.1
01-09-58,35.1
01-10-58,35.11
01-11-58,35.1
01-12-58,35.09
01-01-59,35.07
01-02-59,35.06
01-03-59,35.06
01-04-59,35.08
01-05-59,35.12
01-06-59,35.12
01-07-59,35.13
01-08-59,35.12
01-09-59,35.13
01-10-59,35.1
01-11-59,35.06
01-12-59,35.05
01-01-60,35.09
01-02-60,35.09
01-03-60,35.09
01-04-60,35.11
01-05-60,35.1
01-06-60,35.09
01-07-60,35.1
01-08-60,35.13
01-09-60,35.22
01-10-60,35.78
01-11-60,35.82
01-12-60,35.54
01-01-61,35.56
01-02-61,35.17
01-03-61,35.08
01-04-61,35.08
01-05-61,35.06
01-06-61,35.07
01-07-61,35.11
01-08-61,35.16
01-09-61,35.19
01-10-61,35.19
01-11-61,35.19
01-12-61,35.15
01-01-62,35.16
01-02-62,35.13
01-03-62,35.09
01-04-62,35.08
01-05-62,35.08
01-06-62,35.1
01-07-62,35.12
01-08-62,35.12
01-09-62,35.13
01-10-62,35.14
01-11-62,35.09
01-12-62,35.08
01-01-63,35.06
01-02-63,35.08
01-03-63,35.1
01-04-63,35.1
01-05-63,35.08
01-06-63,35.08
01-07-63,35.09
01-08-63,35.1
01-09-63,35.08
01-10-63,35.08
01-11-63,35.08
01-12-63,35.08
01-01-64,35.08
01-02-64,35.08
01-03-64,35.08
01-04-64,35.08
01-05-64,35.08
01-06-64,35.08
01-07-64,35.08
01-08-64,35.08
01-09-64,35.09
01-10-64,35.11
01-11-64,35.1
01-12-64,35.12
01-01-65,35.13
01-02-65,35.14
01-03-65,35.16
01-04-65,35.14
01-05-65,35.1
01-06-65,35.1
01-07-65,35.12
01-08-65,35.15
01-09-65,35.14
01-10-65,35.11
01-11-65,35.11
01-12-65,35.13
01-01-66,35.15
01-02-66,35.17
01-03-66,35.15
01-04-66,35.13
01-05-66,35.12
01-06-66,35.15
01-07-66,35.18
01-08-66,35.18
01-09-66,35.19
01-10-66,35.16
01-11-66,35.16
01-12-66,35.18
01-01-67,35.18
01-02-67,35.17
01-03-67,35.16
01-04-67,35.17
01-05-67,35.18
01-06-67,35.19
01-07-67,35.19
01-08-67,35.19
01-09-67,35.19
01-10-67,35.19
01-11-67,35.2
01-12-67,35.19
01-01-68,35.18
01-02-68,35.2
01-03-68,35.2
01-04-68,37.878
01-05-68,40.691
01-06-68,41.111
01-07-68,39.53
01-08-68,39.17
01-09-68,40.203
01-10-68,39.21
01-11-68,39.795
01-12-68,41.113
01-01-69,42.291
01-02-69,42.616
01-03-69,43.171
01-04-69,43.295
01-05-69,43.461
01-06-69,41.442
01-07-69,41.755
01-08-69,41.128
01-09-69,40.865
01-10-69,40.476
01-11-69,37.452
01-12-69,35.189
01-01-70,34.946
01-02-70,34.994
01-03-70,35.089
01-04-70,35.623
01-05-70,35.958
01-06-70,35.437
01-07-70,35.329
01-08-70,35.377
01-09-70,36.196
01-10-70,37.553
01-11-70,37.455
01-12-70,37.434
01-01-71,37.868
01-02-71,38.716
01-03-71,38.873
01-04-71,39.001
01-05-71,40.493
01-06-71,40.105
01-07-71,40.929
01-08-71,42.722
01-09-71,41.976
01-10-71,42.473
01-11-71,42.842
01-12-71,43.455
01-01-72,45.64
01-02-72,48.237
01-03-72,48.288
01-04-72,49.026
01-05-72,54.5
01-06-72,62.17
01-07-72,65.558
01-08-72,66.917
01-09-72,65.589
01-10-72,64.824
01-11-72,62.726
01-12-72,63.779
01-01-73,65.127
01-02-73,73.971
01-03-73,84.105
01-04-73,90.441
01-05-73,101.623
01-06-73,119.8
01-07-73,120.364
01-08-73,106.225
01-09-73,103.034
01-10-73,99.923
01-11-73,94.645
01-12-73,106.236
01-01-74,129.027
01-02-74,150
01-03-74,168.298
01-04-74,172.243
01-05-74,163.568
01-06-74,154.013
01-07-74,142.283
01-08-74,154.362
01-09-74,151.66
01-10-74,158.533
01-11-74,181.483
01-12-74,183.683
01-01-75,176.864
01-02-75,179.553
01-03-75,178.203
01-04-75,170.066
01-05-75,167.293
01-06-75,164.25
01-07-75,164.867
01-08-75,163.168
01-09-75,144.311
01-10-75,142.691
01-11-75,142.565
01-12-75,139.279
01-01-76,131.695
01-02-76,130.94
01-03-76,132.676
01-04-76,127.91
01-05-76,126.913
01-06-76,125.684
01-07-76,117.866
01-08-76,110.055
01-09-76,114.098
01-10-76,116.095
01-11-76,130.341
01-12-76,133.674
01-01-77,132.306
01-02-77,136.163
01-03-77,148.339
01-04-77,149.184
01-05-77,146.536
01-06-77,140.828
01-07-77,143.383
01-08-77,145.009
01-09-77,149.334
01-10-77,158.848
01-11-77,162.132
01-12-77,160.48
01-01-78,173.207
01-02-78,178.36
01-03-78,183.771
01-04-78,175.323
01-05-78,176.19
01-06-78,183.761
01-07-78,188.569
01-08-78,206.455
01-09-78,212.212
01-10-78,227.432
01-11-78,207.082
01-12-78,207.895
01-01-79,226.986
01-02-79,245.59
01-03-79,242.348
01-04-79,239.174
01-05-79,257.738
01-06-79,279.36
01-07-79,295.009
01-08-79,300.793
01-09-79,354.498
01-10-79,390.959
01-11-79,391.518
01-12-79,463.666
01-01-80,674.58
01-02-80,665.893
01-03-80,554.276
01-04-80,516.71
01-05-80,514.268
01-06-80,600.786
01-07-80,645.75
01-08-80,626.36
01-09-80,673.941
01-10-80,662.27
01-11-80,623.875
01-12-80,596.712
01-01-81,557.813
01-02-81,500.8
01-03-81,499.693
01-04-81,496.625
01-05-81,480.316
01-06-81,460.5
01-07-81,409.284
01-08-81,410.24
01-09-81,443.773
01-10-81,437.68
01-11-81,413.405
01-12-81,410.119
01-01-82,384.163
01-02-82,374.458
01-03-82,330.413
01-04-82,350.335
01-05-82,334.505
01-06-82,314.961
01-07-82,337.895
01-08-82,363.413
01-09-82,438.15
01-10-82,422.786
01-11-82,415.114
01-12-82,444.776
01-01-83,481.838
01-02-83,493.488
01-03-83,420.707
01-04-83,433.171
01-05-83,437.393
01-06-83,413.148
01-07-83,422.645
01-08-83,416.205
01-09-83,412.245
01-10-83,394.245
01-11-83,381.016
01-12-83,388.06
01-01-84,370.735
01-02-84,386.038
01-03-84,394.743
01-04-84,381.371
01-05-84,376.957
01-06-84,378.314
01-07-84,347.598
01-08-84,347.677
01-09-84,340.945
01-10-84,340.217
01-11-84,341.286
01-12-84,319.622
01-01-85,302.852
01-02-85,299.833
01-03-85,303.205
01-04-85,324.883
01-05-85,316.395
01-06-85,316.298
01-07-85,317.202
01-08-85,330.131
01-09-85,323.764
01-10-85,326.093
01-11-85,325.548
01-12-85,321.985
01-01-86,345.561
01-02-86,339.053
01-03-86,346.095
01-04-86,340.716
01-05-86,342.325
01-06-86,342.798
01-07-86,348.554
01-08-86,376.29
01-09-86,418.152
01-10-86,423.863
01-11-86,396.983
01-12-86,391.595
01-01-87,408.524
01-02-87,401.045
01-03-87,408.848
01-04-87,439.665
01-05-87,461.65
01-06-87,449.282
01-07-87,450.33
01-08-87,460.988
01-09-87,460.12
01-10-87,465.764
01-11-87,468.14
01-12-87,487.079
01-01-88,477.758
01-02-88,442.124
01-03-88,443.491
01-04-88,451.558
01-05-88,451.32
01-06-88,451.657
01-07-88,437.452
01-08-88,431.064
01-09-88,413.439
01-10-88,406.39
01-11-88,419.966
01-12-88,419.248
01-01-89,404.445
01-02-89,387.973
01-03-89,390.274
01-04-89,384.72
01-05-89,371.35
01-06-89,367.727
01-07-89,375.21
01-08-89,365.548
01-09-89,361.798
01-10-89,366.8
01-11-89,394.361
01-12-89,409.655
01-01-90,410.118
01-02-90,416.543
01-03-90,393.661
01-04-90,374.929
01-05-90,368.855
01-06-90,352.657
01-07-90,361.82
01-08-90,394.861
01-09-90,389.56
01-10-90,381.333
01-11-90,381.866
01-12-90,378.161
01-01-91,384.591
01-02-91,363.748
01-03-91,363.39
01-04-91,358.055
01-05-91,357.117
01-06-91,366.36
01-07-91,368.013
01-08-91,356.721
01-09-91,348.46
01-10-91,358.826
01-11-91,359.96
01-12-91,361.875
01-01-92,354.436
01-02-92,353.853
01-03-92,344.641
01-04-92,338.728
01-05-92,337.039
01-06-92,340.784
01-07-92,352.452
01-08-92,343.603
01-09-92,345.3
01-10-92,344.277
01-11-92,334.924
01-12-92,334.657
01-01-93,328.993
01-02-93,329.31
01-03-93,329.974
01-04-93,341.948
01-05-93,367.045
01-06-93,371.914
01-07-93,392.034
01-08-93,379.795
01-09-93,355.561
01-10-93,364.005
01-11-93,373.939
01-12-93,383.243
01-01-94,387.11
01-02-94,381.658
01-03-94,384
01-04-94,377.908
01-05-94,381.343
01-06-94,385.714
01-07-94,385.45
01-08-94,380.207
01-09-94,391.348
01-10-94,390.164
01-11-94,384.377
01-12-94,379.48
01-01-95,378.738
01-02-95,376.745
01-03-95,381.82
01-04-95,391.339
01-05-95,385.231
01-06-95,387.618
01-07-95,386.138
01-08-95,383.502
01-09-95,382.931
01-10-95,383.202
01-11-95,385.209
01-12-95,387.445
01-01-96,398.695
01-02-96,404.919
01-03-96,396.512
01-04-96,392.87
01-05-96,391.99
01-06-96,385.245
01-07-96,383.457
01-08-96,387.51
01-09-96,383.29
01-10-96,380.909
01-11-96,377.869
01-12-96,369.338
01-01-97,355.025
01-02-97,346.4
01-03-97,352.311
01-04-97,344.707
01-05-97,344.1
01-06-97,340.805
01-07-97,323.78
01-08-97,323.998
01-09-97,322.616
01-10-97,324.863
01-11-97,306.345
01-12-97,288.776
01-01-98,289.264
01-02-98,297.743
01-03-98,295.87
01-04-98,308.558
01-05-98,298.971
01-06-98,292.223
01-07-98,292.874
01-08-98,284.228
01-09-98,288.661
01-10-98,296.595
01-11-98,294.243
01-12-98,291.357
01-01-99,287.333
01-02-99,287.495
01-03-99,286.243
01-04-99,282.62
01-05-99,276.932
01-06-99,261.402
01-07-99,256.198
01-08-99,256.936
01-09-99,264.47
01-10-99,311.562
01-11-99,293.65
01-12-99,283.743
01-01-00,284.59
01-02-00,300.855
01-03-00,286.704
01-04-00,279.961
01-05-00,275.293
01-06-00,285.368
01-07-00,282.152
01-08-00,274.523
01-09-00,273.676
01-10-00,270.405
01-11-00,265.989
01-12-00,271.892
01-01-01,265.934
01-02-01,262.018
01-03-01,263.273
01-04-01,260.75
01-05-01,272.057
01-06-01,270.738
01-07-01,267.707
01-08-01,272.657
01-09-01,282.478
01-10-01,283.322
01-11-01,276.248
01-12-01,275.992
01-01-02,281.764
01-02-02,295.683
01-03-02,294.353
01-04-02,302.862
01-05-02,314.48
01-06-02,321.536
01-07-02,313.567
01-08-02,310.045
01-09-02,318.8
01-10-02,316.748
01-11-02,319.255
01-12-02,333.3
01-01-03,356.864
01-02-03,359.575
01-03-03,341.564
01-04-03,328.208
01-05-03,355.405
01-06-03,356.912
01-07-03,350.765
01-08-03,358.993
01-09-03,378.859
01-10-03,379.093
01-11-03,390.2
01-12-03,407.674
01-01-04,414.495
01-02-04,404.73
01-03-04,405.976
01-04-04,404.85
01-05-04,383.953
01-06-04,391.78
01-07-04,398.441
01-08-04,400.133
01-09-04,405.402
01-10-04,420.21
01-11-04,439.059
01-12-04,442.974
01-01-05,424.08
01-02-05,423.43
01-03-05,434.355
01-04-05,429.14
01-05-05,422.903
01-06-05,430.302
01-07-05,424.745
01-08-05,437.773
01-09-05,455.936
01-10-05,470.107
01-11-05,476.668
01-12-05,509.423
01-01-06,549.433
01-02-06,555.518
01-03-06,557.215
01-04-06,611.853
01-05-06,676.769
01-06-06,597.898
01-07-06,633.093
01-08-06,631.557
01-09-06,600.15
01-10-06,586.648
01-11-06,626.825
01-12-06,629.513
01-01-07,630.352
01-02-07,665.103
01-03-07,655.891
01-04-07,680.008
01-05-07,668.31
01-06-07,655.714
01-07-07,665.266
01-08-07,664.53
01-09-07,710.645
01-10-07,754.48
01-11-07,808.311
01-12-07,803.618
01-01-08,887.784
01-02-08,924.283
01-03-08,971.055
01-04-08,911.6
01-05-08,889.125
01-06-08,889.536
01-07-08,941.167
01-08-08,840.388
01-09-08,824.92
01-10-08,812.815
01-11-08,757.85
01-12-08,819.94
01-01-09,857.726
01-02-09,939.763
01-03-09,925.989
01-04-09,892.663
01-05-09,926.855
01-06-09,947.807
01-07-09,934.272
01-08-09,949.5
01-09-09,996.443
01-10-09,1043.511
01-11-09,1126.119
01-12-09,1135.012
01-01-10,1119.575
01-02-10,1095.8
01-03-10,1115.554
01-04-10,1148.475
01-05-10,1204.321
01-06-10,1232.382
01-07-10,1196
01-08-10,1213.464
01-09-10,1271.461
01-10-10,1343.19
01-11-10,1371.784
01-12-10,1393.512
01-01-11,1360.475
01-02-11,1371.313
01-03-11,1422.848
01-04-11,1474.431
01-05-11,1512.188
01-06-11,1528.38
01-07-11,1568.526
01-08-11,1759.5
01-09-11,1780.648
01-10-11,1667.893
01-11-11,1735.977
01-12-11,1652.725
01-01-12,1656.095
01-02-12,1743.095
01-03-12,1675.057
01-04-12,1648.539
01-05-12,1585.114
01-06-12,1595.632
01-07-12,1592.784
01-08-12,1625.682
01-09-12,1741.925
01-10-12,1746.348
01-11-12,1724.352
01-12-12,1687.342
01-01-13,1671.886
01-02-13,1630.688
01-03-13,1591.013
01-04-13,1485.905
01-05-13,1416.143
01-06-13,1342.7
01-07-13,1284.348
01-08-13,1345.048
01-09-13,1348.464
01-10-13,1314.402
01-11-13,1277.417
01-12-13,1221.588
01-01-14,1243.068
01-02-14,1298.713
01-03-14,1336.56
01-04-14,1299.175
01-05-14,1288.913
01-06-14,1277.857
01-07-14,1312.989
01-08-14,1297.005
01-09-14,1241.33
01-10-14,1223.565
01-11-14,1176.413
01-12-14,1200.44
01-01-15,1249.333
01-02-15,1231.1
01-03-15,1180.636
01-04-15,1198.253
01-05-15,1197.684
01-06-15,1182.248
01-07-15,1131.58
01-08-15,1117.525
01-09-15,1124.905
01-10-15,1157.123
01-11-15,1088.388
01-12-15,1068.317
01-01-16,1095.655
01-02-16,1194.893
01-03-16,1246.312
01-04-16,1241.452
01-05-16,1259.755
01-06-16,1273.58
01-07-16,1337.429
01-08-16,1340.861
01-09-16,1326.618
01-10-16,1268.929
01-11-16,1240.293
01-12-16,1152.165
01-01-17,1192.648
01-02-17,1233.39
01-03-17,1231.063
01-04-17,1267.15
01-05-17,1245.25
01-06-17,1261.277
01-07-17,1235.1
01-08-17,1281.72
01-09-17,1317.045
01-10-17,1280.677
01-11-17,1283.189
01-12-17,1265.674
01-01-18,1332.809
01-02-18,1333.775
